	kommunenr	kommune	lat	lon	lat_lon
394	1860	Vestvågøy	68.1483	13.611189999999999	68.1483,13.61119
395	1865	Vågan	68.2322	14.56226	68.2322,14.56226
396	1866	Hadsel	68.56328	14.90835	68.56328,14.90835
397	1867	Bø	68.68823	14.47899	68.68823,14.47899
398	1868	Øksnes	68.91463	15.087029999999999	68.91463,15.08703
399	1870	Sortland	68.69618	15.41174	68.69618,15.41174
400	1871	Andøy	69.31428000000001	16.11939	69.31428,16.11939
401	1874	Moskenes	67.93467	13.09109	67.93467,13.09109
403	1902	Tromsø	69.64961	18.95702	69.64961,18.95702
404	1903	Harstad	68.79896	16.5293	68.79896,16.5293
405	1911	Kvæfjord	68.77201	16.17294	68.77201,16.17294
406	1913	Skånland	68.58378	16.57305	68.58378,16.57305
407	1917	Ibestad	68.77866	17.17661	68.77866,17.17661
408	1919	Gratangen	68.69273000000001	17.53186	68.69273,17.53186
409	1920	Lavangen	68.74722	17.80558	68.74722,17.80558
410	1922	Bardu	68.86058	18.35052	68.86058,18.35052
411	1923	Salangen	68.87669	17.83375	68.87669,17.83375
412	1924	Målselv	69.12389	18.61498	69.12389,18.61498
413	1925	Sørreisa	69.14697	18.15629	69.14697,18.15629
414	1926	Dyrøy	69.09154000000001	17.690939999999998	69.09154,17.69094
415	1927	Tranøy	69.17022	17.7348	69.17022,17.7348
416	1928	Torsken	69.36184	17.05384	69.36184,17.05384
417	1929	Berg	69.44444	17.2995	69.44444,17.2995
418	1931	Lenvik	69.23111	17.987389999999998	69.23111,17.98739
419	1933	Balsfjord	69.24024	19.22653	69.24024,19.22653
420	1936	Karlsøy	69.96185	19.61811	69.96185,19.61811
421	1938	Lyngen	69.57621	20.21702	69.57621,20.21702
422	1939	Storfjord	69.2686	19.96089	69.2686,19.96089
423	1940	Kåfjord	69.604	20.53456	69.604,20.53456
424	1941	Skjervøy	70.03379	20.97365	70.03379,20.97365
425	1942	Nordreisa	69.76825	21.02569	69.76825,21.02569
426	1943	Kvænangen	69.9389	22.04935	69.9389,22.04935
428	2002	Vardø	70.3704	31.108659999999997	70.3704,31.10866
429	2003	Vadsø	70.07412	29.74922	70.07412,29.74922
430	2004	Hammerfest	70.66257	23.68295	70.66257,23.68295
